,productsku,fullvisitorid,tot_interest,product_name
0,GGOEGAAX0330,3963931733144286855,1.5,YouTube Men's Long & Lean Tee Charcoal
1,GGOEGETB023799,0750846065342433129,1.5,Google Power Bank
2,GGOEADWQ015699,138058039294367332,2.0,Android Rise 14 oz Mug
3,GGOEGBRB013899,0551028300396393478,1.5,Google Laptop Backpack
4,GGOEYDHJ056099,2865117450599304911,2.5,22 oz YouTube Bottle Infuser
5,GGOEGBRA037499,1148645885957423322,1.5,Waterproof Backpack
6,GGOEGAAX0338,6649661547402538462,1.5,Google Men's Vintage Badge Tee Black
7,GGOEYDHJ056099,4799379227714170002,2.5,22 oz YouTube Bottle Infuser
8,GGOEGBRJ037399,8832913499703586038,1.5,Google Rucksack
9,GGOEGAAX0651,2976099200710770058,1.5,Google Toddler Short Sleeve Tee Red
10,GGOEYFKQ020699,7605971862730185115,0.5,YouTube Custom Decals
11,GGOEWCKQ085457,6516690887287445807,3.5,Waze Pack of 9 Decal Set
12,GGOEGAAX0338,9283619216742521189,1.5,Google Men's Vintage Badge Tee Black
13,GGOEGAAX0338,5552602223219141230,1.5,Google Men's Vintage Badge Tee Black
14,GGOEGAAX0325,6235333906233118646,1.5,YouTube Men's Short Sleeve Hero Tee Charcoal
15,GGOEGAAX0318,110153724611725846,1.5,YouTube Men's Short Sleeve Hero Tee Black
16,GGOEGAAX0318,57196719909669060,1.5,YouTube Men's Short Sleeve Hero Tee Black
17,GGOEYFKQ020699,1513574659863671308,1.5,YouTube Custom Decals
18,GGOEGAAX0330,8795601824800140692,1.5,YouTube Men's Long & Lean Tee Charcoal
19,GGOEGAAX0318,6454152396954180970,1.5,YouTube Men's Short Sleeve Hero Tee Black
20,GGOEGAAX0318,9810242816023554106,1.5,YouTube Men's Short Sleeve Hero Tee Black
21,GGOEYFKQ020699,6652255958623882302,1.5,YouTube Custom Decals
22,GGOEYFKQ020699,6800773016200108867,1.5,YouTube Custom Decals
23,GGOEYFKQ020699,0485797735449723544,1.5,YouTube Custom Decals
24,GGOEYFKQ020699,3963931733144286855,1.5,YouTube Custom Decals
25,GGOEGAAX0325,3487777878571499424,1.5,YouTube Men's Short Sleeve Hero Tee Charcoal
26,GGOEYHPB072210,0192314861414750236,1.5,YouTube Twill Cap
27,GGOEGAAX0318,95260387049596061,1.5,YouTube Men's Short Sleeve Hero Tee Black
28,GGOEGDHQ015399,6970840496248643321,1.5,26 oz Double Wall Insulated Bottle
29,GGOEGDHC074099,3239591421883808376,1.5,Google 17oz Stainless Steel Sport Bottle
30,GGOEGAAX0341,2981325201816358942,1.5,Google Women's Vintage Hero Tee Black
31,GGOEADHH055999,3466329311470244552,1.5,22 oz Android Bottle
32,GGOEGDHC015299,3466329311470244552,1.5,23 oz Wide Mouth Sport Bottle
33,GGOEGOBC078699,9359225890182048096,1.5,Google Luggage Tag
34,GGOEYHPB072210,7484497031611210287,1.5,YouTube Twill Cap
35,GGOEYFKQ020699,3077728344368815014,5.5,YouTube Custom Decals
36,GGOEGAAX0325,4107476716931948379,2.0,YouTube Men's Short Sleeve Hero Tee Charcoal
37,GGOEGAAX0104,7779808671220138430,1.5,Google Men's 100% Cotton Short Sleeve Hero Tee White
38,GGOEYFKQ020699,051569945671479788,1.5,YouTube Custom Decals
39,GGOEGAAX0318,8699270326076021095,1.5,YouTube Men's Short Sleeve Hero Tee Black
40,GGOEGAAX0358,3730118929329807081,1.5,Google Men's  Zip Hoodie
41,GGOEGBFC018799,9446534099865088123,1.5,Electronics Accessory Pouch
42,GGOEGDWR015799,454415741312523119,1.5,Red Shine 15 oz Mug
43,GGOEGOAB021499,2192102760951521593,2.5,Metal Texture Roller Pen
44,GGOEGBRA037499,0462973614885897477,1.5,Waterproof Backpack
45,GGOEGAAX0592,5768779985718104713,1.5,Google Men's Airflow 1/4 Zip Pullover Black
46,GGOEGAAX0329,8541623616216182707,1.5,Android Men's Long & Lean Badge Tee Charcoal
47,GGOEGAAX0104,1894130606995361644,1.5,Google Men's 100% Cotton Short Sleeve Hero Tee White
48,GGOEGAAX0661,410776283289767415,1.5,You Tube Toddler Short Sleeve Tee Red
49,GGOEGAAX0350,5310658158414332779,2.5,Google Men's Bayside Graphic Tee
50,GGOEGAAX0795,1580431283728289185,5.0,25L Classic Rucksack
51,GGOEYFKQ020699,9769058468255015745,1.5,YouTube Custom Decals
52,GGOEGAAX0330,9769058468255015745,1.5,YouTube Men's Long & Lean Tee Charcoal
53,GGOEGFKA022299,1792126295682358590,2.0,Keyboard DOT Sticker
54,GGOEGAAX0318,1281234459613429134,2.0,YouTube Men's Short Sleeve Hero Tee Black
55,GGOEGAAX0351,8336976389238650812,2.0,YouTube Men's Vintage Henley
56,GGOEYDHJ056099,2725696087969671053,3.0,22 oz YouTube Bottle Infuser
57,GGOEGAAX0318,5645525901423795365,2.0,YouTube Men's Short Sleeve Hero Tee Black
58,GGOEGBRA037499,8765602621942878224,2.0,Waterproof Backpack
59,GGOEGFYQ016599,9359225890182048096,2.0,Foam Can and Bottle Cooler
60,GGOEYFKQ020699,2699100691075242575,3.0,YouTube Custom Decals
61,GGOEGEVA022399,2838389775426883646,1.5,Micro Wireless Earbud
62,GGOEGAAX0318,0261035563475309159,2.0,YouTube Men's Short Sleeve Hero Tee Black
63,GGOEGAAX0661,5883164011639311823,1.5,You Tube Toddler Short Sleeve Tee Red
64,GGOEGAAX0104,4891367157966215686,2.0,Google Men's 100% Cotton Short Sleeve Hero Tee White
65,GGOEGOAB021499,3185267375068033750,2.0,Metal Texture Roller Pen
66,GGOEGBRA037499,3644674906177313121,1.5,Waterproof Backpack
67,GGOEGAAX0313,4659112155231903369,1.5,Google Tri-blend Hoodie Grey
68,GGOEGOCC077299,0509972280802528263,40.0,Google RFID Journal
69,GGOEGOCB017499,0509972280802528263,40.0,Leatherette Journal
70,GGOEGALB034113,0509972280802528263,40.0,Google Women's Vintage Hero Tee Black
71,GGOEGAEJ028013,0509972280802528263,40.0,Google Women's Short Sleeve Hero Tee Grey
72,GGOEACCQ017299,1825841980801408928,1.5,Android Lunch Kit
73,GGOEGAAX0325,2682723022140584110,1.5,YouTube Men's Short Sleeve Hero Tee Charcoal
74,GGOEGBRJ037399,7197257625515261031,1.5,Google Rucksack
75,GGOEAKDH019899,0241048761582607706,1.5,Windup Android
76,GGOEGAAX0338,659997883658232689,1.5,Google Men's Vintage Badge Tee Black
77,GGOEGHPJ080310,4514652345155303748,1.5,Google Blackout Cap
78,GGOEYOCR077799,6967791130946939797,2.0,YouTube Hard Cover Journal
79,GGOEGGCX056299,2666111902144758507,2.0,Gift Card - $25.00
80,GGOEGOAQ012899,0067546692352203203,2.5,Ballpoint LED Light Pen
81,GGOEGOAQ018099,84084976506155235,4.5,Pen Pencil & Highlighter Set
